Names,Candname,TNS,MJD,S/N (Heimdall),DM (Heimdall),DM (opt),RA ibeam,Dec ibeam,Redshift,Published?
zach,220207aabh,FRB20220207A,`59617.808504`,60,263,262.3,310.7,71.6,0.043,Yes
whitney,220310aaam,FRB20220310A,`59648.241721`,68.4,462.7,462.15,136.08,71.72,0.479,Yes
oran,220506aabd,FRB20220506A,`59705.597013`,48.9,396.7,396.93,318.3,71.5,0.3005,Yes
gertrude,220726aabn,FRB20220726A,`59786.693269`,12.7,686.2,686.55,73.8,71.6,0.361,Yes
isha,221113aaao,FRB20221113A,`59896.3865109765`,9.9,411.027,411.4,72.8,71.6,0.2505,Yes
wilhelm,221203aaaa,FRB20221203A,`59916.0017508958`,223.7,602.7,602.25,315.1,71.6,0.51,Yes
phineas,230307aaao,FRB20230307A,`60010.378858`,89.5,608.9,610.15,177.9,71.6,0.271,Yes
freya,230325aaag,FRB20230325A,`60028.071691`,55.9,914.4,912.38,88.4,71.6,1,No
pingu,230712aadj,FRB20230712A,`60137.9960769894`,11.5,587.6,586.96,170.7,71.6,0.4525,No
hamilton,230913aaao,FRB20230913A,`60200.207158083`,16.1,518.6,518.7,308.4,71.6,0.3024,No
mahi,240122aaag,FRB20240122A,`60331.1042800127`,8.9,958,959.9,39.8,71.5,1,No
chromatica,240203aacl,FRB20240203A,`60343.831822`,38.9,272.4,272.25,312.9,71.5,0.074,No
casey,240229aaad,FRB20240229A,`60369.370952243`,93.9,491.6,491.15,173.7,71.8,0.287,No
,,,,,,,,,,
Repeaters,,,,,,,,,,
FRB20220912A2,221025aanu,,`59877.203254`,8.5,222.7,219.46,347.3,48.7,,No
johndoe (II),230814aaas,,`60170.360927`,45.1,696.2,696.35,335.9,71.5,,No
,,,,,,,,,,
Marginal Candidates,,,,,,,,,,
benjy,220521aaat,,`59720.323685`,11.1,1294.8,?,236.1,71.7,,No voltage data
