burst,tns,variant,adopted_dm,product_dm_C,product_dm_D,fixed_delta_dm_C,fixed_delta_dm_D,chi2_chime,chi2_dsa,adjudication,visual_review,fit_json,ppc_json
zach,FRB 20220207C,C2D4,262.361665,262.362100,262.368000,-0.000435,-0.006335,1.94,1.05,morphology_only,"coherent DSA frequency-time residual structure",fit_summaries/zach_joint_fit_C2D4.json,ppc/zach_joint_ppc_multi_C2D4.json
whitney,FRB 20220310F,C2D3,462.188773,462.189100,462.174000,-0.000327,0.014773,1.0609,1.0091,accepted_physical,"residuals visually noise-like after C2D3 remediation",fit_summaries/whitney_joint_fit_C2D3.json,ppc/whitney_joint_ppc_multi_C2D3.json
oran,FRB 20220506D,C2D1,397.015535,397.015300,396.882000,0.000235,0.133535,1.0222,1.4452,accepted_physical,"no coherent residual morphology",fit_summaries/oran_joint_fit_C2D1.json,ppc/oran_joint_ppc_multi_C2D1.json
isha,FRB 20221113A,C2D1,411.435717,411.435900,411.568000,-0.000183,-0.132283,1.0593,0.9289,accepted_physical,"residuals visually noise-like",fit_summaries/isha_joint_fit_C2D1.json,ppc/isha_joint_ppc_multi_C2D1.json
wilhelm,FRB 20221203A,C1D4,602.377821,602.380900,602.346000,-0.003079,0.031821,1.14,4.88,rejected,"bright structured DSA residual remains after C1D4 remediation",fit_summaries/wilhelm_joint_fit_C1D4.json,ppc/wilhelm_joint_ppc_multi_C1D4.json
phineas,FRB 20230307A,C3D3,610.289070,610.289400,610.274000,-0.000330,0.015070,1.0237,1.6777,accepted_physical,"modest DSA residuals without a coherent omitted component",fit_summaries/phineas_joint_fit_C3D3.json,ppc/phineas_joint_ppc_multi_C3D3.json
freya,FRB 20230325A,C1D1,912.407552,912.406700,912.400000,0.000852,0.007552,1.3422,1.0919,accepted_physical,"residuals visually noise-like",fit_summaries/freya_joint_fit.json,ppc/freya_joint_ppc_multi.json
johndoeII,FRB 20230814B,C2D2,696.518001,696.518400,696.506000,-0.000399,0.012001,1.0511,1.4362,accepted_physical,"no coherent residual morphology",fit_summaries/johndoeII_joint_fit_C2D2.json,ppc/johndoeII_joint_ppc_multi_C2D2.json
hamilton,FRB 20230913A,C4D1,518.796993,518.800700,518.799000,-0.003707,-0.002007,1.5557,0.9969,morphology_only,"coherent CHIME residual structure remains after C4 remediation",fit_summaries/hamilton_joint_fit_C4D1.json,ppc/hamilton_joint_ppc_multi_C4D1.json
mahi,FRB 20240122A,C1D2,960.131611,960.131600,960.128000,0.000011,0.003611,1.0389,0.9239,accepted_physical,"residuals visually noise-like after C1D2 remediation",fit_summaries/mahi_joint_fit_C1D2.json,ppc/mahi_joint_ppc_multi_C1D2.json
chromatica,FRB 20240203A,C2D2,272.638699,272.638200,272.368000,0.000499,0.270699,9.60,0.82,rejected,"catastrophic CHIME residuals for every attempted morphology",,
casey,FRB 20240229A,C2D1,491.207826,491.208500,491.211000,-0.000674,-0.003174,1.4256,0.9958,morphology_only,"low-level coherent CHIME tail remains",fit_summaries/casey_joint_fit_C2D1.json,ppc/casey_joint_ppc_multi_C2D1.json
