burst,subband,center_freq_mhz,n_preferred,component,dnu_mhz,dnu_err_mhz,modulation_m,modulation_err,fit_range_mhz,selected_bic,selected_redchi,quality_flags
casey,0,1324.5273075044765,1,1,2.0997153786622054,0.16255818615051942,0.35860431546049276,0.008807890874861942,13.185739866514746,244.2663087075333,1.6993708513294006,
casey,1,1365.5496093114114,2,1,8.590165166700002,2.1007806012809738,0.7808064974598818,0.25141341488742636,25.0,-1698.8337140515598,0.12134625413381916,
casey,1,1365.5496093114114,2,2,18.387156820715035,5.546916336576938,0.8784950576062582,0.19448069341592342,25.0,-1698.8337140515598,0.12134625413381916,
casey,2,1411.257121927397,1,1,1.4549778282805348,0.18672677695936746,0.25409334418024043,0.0099128623674995,17.73359921862288,297.66327414926855,1.6235930767583648,
casey,3,1464.000081393456,2,1,4.354450291979191,0.36229075255521737,0.8382433837808574,0.019353750199059598,25.0,-1759.8925946411553,0.11262853419770981,
casey,3,1464.000081393456,2,2,40.87086125563074,3.0419490779983045,2.172466398856141,0.09825627802174923,25.0,-1759.8925946411553,0.11262853419770981,dnu_exceeds_fit_window
chromatica,0,1321.0629985349178,1,1,0.7284567935451594,0.08979323640572237,0.7594359730695046,0.031054578006013946,9.797737261924173,363.57583480380464,2.96858686826303,
chromatica,1,1351.0971837864236,2,1,0.5957143809411005,0.0801445105982258,0.7605000210243591,0.030678750892819816,20.083835259645152,31.375619237140867,1.006019088442257,
chromatica,1,1351.0971837864236,2,2,26.680613272090575,7.981911082252427,1.018169713212417,0.2031905663555014,20.083835259645152,31.375619237140867,1.006019088442257,dnu_exceeds_fit_window
chromatica,2,1395.88902002279,1,1,2.0652691362888826,0.15768618388893782,0.9897688072737276,0.02452166603583404,24.387514243854795,495.8892728334514,1.8208531895097266,
chromatica,3,1459.620096044278,2,1,1.389181721571465,0.1008411574931894,1.4822938956830551,0.02978940472221831,25.0,219.528343205392,1.2626531713677411,
chromatica,3,1459.620096044278,2,2,902.4076950573972,390866.96212805656,20.28802520747459,8780.929899253395,25.0,219.528343205392,1.2626531713677411,dnu_exceeds_fit_window;fractional_dnu_err_gt_1;modulation_gt_3;fractional_mod_err_gt_1
freya,0,1351.56372069652,1,1,11.914664957701838,4.378555326673515,0.19715904054001543,0.02020515300449327,25.0,-58.08812466959675,0.9122623381154442,
freya,1,1445.31372068116,1,1,392.8026785642447,36710.30720999555,3.0988934045745564,288.6305086922782,25.0,-72.29270603057805,0.8965766503708558,dnu_exceeds_fit_window;fractional_dnu_err_gt_1;modulation_gt_3;fractional_mod_err_gt_1
hamilton,0,1321.841323457594,1,1,0.12859013592190127,0.07137010556556997,0.6273377129343343,0.1273512946854154,10.545539638613104,22.1756759813783,1.0224457711114843,
hamilton,1,1351.6465896141951,1,1,1.0663028113217452,0.39938888056987304,0.6305452993836795,0.07511877728025257,19.16815888002606,48.2624118323826,1.052178761461844,
hamilton,2,1395.3701367410063,2,1,0.207269714386499,0.06261231009416689,1.290970195493268,0.1451529957922323,24.280685332899335,-43.56765199811229,0.913478846058511,
hamilton,2,1395.3701367410063,2,2,593.7658476151349,81524.27951511333,19.512173702398876,2675.2397263517996,24.280685332899335,-43.56765199811229,0.913478846058511,dnu_exceeds_fit_window;fractional_dnu_err_gt_1;modulation_gt_3;fractional_mod_err_gt_1
hamilton,3,1459.3301318573986,2,1,0.23874580023782,0.10871444736792081,1.3807765501599683,0.2139649287879443,25.0,11.911581887049145,0.9799192385010949,
hamilton,3,1459.3301318573986,2,2,17.395904923741575,5.245806514811728,1.3014694424955073,0.1499347973932262,25.0,11.911581887049145,0.9799192385010949,
isha,0,1361.6427234250366,1,1,81.23773514645417,3191.8665933489674,0.8128315082296473,29.613086378079128,25.0,47.43896218673234,1.0377148365616333,dnu_exceeds_fit_window;fractional_dnu_err_gt_1;fractional_mod_err_gt_1
isha,1,1455.4079846980303,1,1,0.6716347741480599,0.42835573489824197,0.6981129898217424,0.15112930118766918,25.0,-41.63081527023181,0.9307791164292878,
johndoeII,0,1335.6832980628358,1,1,21.57102952342621,3.6970335906825205,0.4882653713938565,0.04307422457802516,24.44855933582948,-40.20296001711651,0.8711726357224556,
johndoeII,1,1392.0279179553963,1,1,0.4936516363856439,0.13217482284330753,0.43057759800824935,0.04135370461366188,25.0,131.6701366783601,1.3300060496636639,
johndoeII,2,1461.3446198925606,1,1,1.8770112402283923,0.49088814941146636,0.3483470361619061,0.02818124624430094,25.0,56.674813304136414,1.1071850928975253,
mahi,0,1344.107520755331,1,1,1.8345250637657164,0.3265480090213832,1.1328360965433166,0.061785073407955846,25.0,25.43088210387551,1.0102008075200852,
mahi,1,1404.1148461663684,1,1,1.0469485788357256,0.8893001107442823,0.5000009091929438,0.13807295887302093,25.0,-27.937348828427613,0.94647232817064,
mahi,2,1465.007325411037,1,1,12.82193012007466,3.5853699882077965,0.9710417602487764,0.08149407226320428,25.0,25.965177289313093,1.0108600523605082,
oran,0,1328.235796841934,1,1,0.4019000279585556,0.08309075262315359,0.8292522211809492,0.05988915595099141,16.98579684193396,70.00776343420351,1.1021013453371011,
oran,1,1358.926216832167,1,1,5.514758018231005,0.2755426403336962,1.3623676239867049,0.01792054961621947,13.628316783330614,-807.0500856890378,0.15821289856576842,
oran,2,1395.6906234738728,1,1,1.5786504402182082,0.1269668963410408,1.1652081477515828,0.030009561509186686,22.846125671495937,24.095530032165914,1.0097387648795084,
oran,3,1458.7654647566335,2,1,0.47072659524503413,0.166764288390309,1.1260380932666152,0.1293552611303291,25.0,60.52650545690109,1.0398471806062464,
