nickname,dm_dsa,dm_dsa_err,dm_dsa_method,dm_dsa_source,dm_chime,dm_chime_err,dm_chime_method,dm_chime_source,delta_dm,delta_dm_sigma,dm_confidence,note
zach,262.3680,0.1000,catalog value (frozen DSA-110 reference DM),"configs/bursts.yaml [dm]; dm_err=0.1 is a uniform placeholder floor, not a measured per-burst uncertainty",261.5240,0.0198,arrival-time regression (scatter-deconvolved EMG sub-band t0 vs nu^-2; coherent_dedisp at DSA DM; uniform TDS=32/N_SB=6); downsampling rescues faint bursts. See .agents/audit-chime-side-dm.md,crossmatching/chime_side_inputs.json (audit: .agents/audit-chime-side-dm.md); extraction artifacts chime_dm_final.json + grid NPZ off-repo on h17:/data/... (not pinned),-0.8440,-0.844,constrained,"sigma_eff = max(quadrature, 1.0 floor); DSA err is a 0.1 placeholder, so the floor governs; consistent within the physical DM scale"
whitney,462.1740,0.1000,catalog value (frozen DSA-110 reference DM),"configs/bursts.yaml [dm]; dm_err=0.1 is a uniform placeholder floor, not a measured per-burst uncertainty",,,arrival-time regression (scatter-deconvolved EMG sub-band t0 vs nu^-2; coherent_dedisp at DSA DM; uniform TDS=32/N_SB=6); downsampling rescues faint bursts. See .agents/audit-chime-side-dm.md,crossmatching/chime_side_inputs.json (audit: .agents/audit-chime-side-dm.md); extraction artifacts chime_dm_final.json + grid NPZ off-repo on h17:/data/... (not pinned),,,unconstrained,CHIME DM unconstrained (agreement undefined): does not constrain DM: only 0 sub-bands above S/N 4 at the coarsest binning that the bright control still resolves; scatter/S-N-limited. Lean on Pillar 4 (position).
oran,396.8820,0.1000,catalog value (frozen DSA-110 reference DM),"configs/bursts.yaml [dm]; dm_err=0.1 is a uniform placeholder floor, not a measured per-burst uncertainty",,,arrival-time regression (scatter-deconvolved EMG sub-band t0 vs nu^-2; coherent_dedisp at DSA DM; uniform TDS=32/N_SB=6); downsampling rescues faint bursts. See .agents/audit-chime-side-dm.md,crossmatching/chime_side_inputs.json (audit: .agents/audit-chime-side-dm.md); extraction artifacts chime_dm_final.json + grid NPZ off-repo on h17:/data/... (not pinned),,,unconstrained,CHIME DM unconstrained (agreement undefined): does not constrain DM: only 1 sub-bands above S/N 4 at the coarsest binning that the bright control still resolves; scatter/S-N-limited. Lean on Pillar 4 (position).
isha,411.5680,0.1000,catalog value (frozen DSA-110 reference DM),"configs/bursts.yaml [dm]; dm_err=0.1 is a uniform placeholder floor, not a measured per-burst uncertainty",411.2150,0.1106,arrival-time regression (scatter-deconvolved EMG sub-band t0 vs nu^-2; coherent_dedisp at DSA DM; uniform TDS=32/N_SB=6); downsampling rescues faint bursts. See .agents/audit-chime-side-dm.md,crossmatching/chime_side_inputs.json (audit: .agents/audit-chime-side-dm.md); extraction artifacts chime_dm_final.json + grid NPZ off-repo on h17:/data/... (not pinned),-0.3530,-0.353,constrained,"sigma_eff = max(quadrature, 1.0 floor); DSA err is a 0.1 placeholder, so the floor governs; consistent within the physical DM scale"
wilhelm,602.3460,0.1000,catalog value (frozen DSA-110 reference DM),"configs/bursts.yaml [dm]; dm_err=0.1 is a uniform placeholder floor, not a measured per-burst uncertainty",601.9020,0.0132,arrival-time regression (scatter-deconvolved EMG sub-band t0 vs nu^-2; coherent_dedisp at DSA DM; uniform TDS=32/N_SB=6); downsampling rescues faint bursts. See .agents/audit-chime-side-dm.md,crossmatching/chime_side_inputs.json (audit: .agents/audit-chime-side-dm.md); extraction artifacts chime_dm_final.json + grid NPZ off-repo on h17:/data/... (not pinned),-0.4440,-0.444,constrained,"sigma_eff = max(quadrature, 1.0 floor); DSA err is a 0.1 placeholder, so the floor governs; consistent within the physical DM scale"
phineas,610.2740,0.1000,catalog value (frozen DSA-110 reference DM),"configs/bursts.yaml [dm]; dm_err=0.1 is a uniform placeholder floor, not a measured per-burst uncertainty",609.8210,0.0308,arrival-time regression (scatter-deconvolved EMG sub-band t0 vs nu^-2; coherent_dedisp at DSA DM; uniform TDS=32/N_SB=6); downsampling rescues faint bursts. See .agents/audit-chime-side-dm.md,crossmatching/chime_side_inputs.json (audit: .agents/audit-chime-side-dm.md); extraction artifacts chime_dm_final.json + grid NPZ off-repo on h17:/data/... (not pinned),-0.4530,-0.453,constrained,"sigma_eff = max(quadrature, 1.0 floor); DSA err is a 0.1 placeholder, so the floor governs; consistent within the physical DM scale"
freya,912.4000,0.1000,catalog value (frozen DSA-110 reference DM),"configs/bursts.yaml [dm]; dm_err=0.1 is a uniform placeholder floor, not a measured per-burst uncertainty",912.2770,0.0062,arrival-time regression (scatter-deconvolved EMG sub-band t0 vs nu^-2; coherent_dedisp at DSA DM; uniform TDS=32/N_SB=6); downsampling rescues faint bursts. See .agents/audit-chime-side-dm.md,crossmatching/chime_side_inputs.json (audit: .agents/audit-chime-side-dm.md); extraction artifacts chime_dm_final.json + grid NPZ off-repo on h17:/data/... (not pinned),-0.1230,-0.123,constrained,"sigma_eff = max(quadrature, 1.0 floor); DSA err is a 0.1 placeholder, so the floor governs; consistent within the physical DM scale"
johndoeII,696.5060,0.1000,catalog value (frozen DSA-110 reference DM),"configs/bursts.yaml [dm]; dm_err=0.1 is a uniform placeholder floor, not a measured per-burst uncertainty",,,arrival-time regression (scatter-deconvolved EMG sub-band t0 vs nu^-2; coherent_dedisp at DSA DM; uniform TDS=32/N_SB=6); downsampling rescues faint bursts. See .agents/audit-chime-side-dm.md,crossmatching/chime_side_inputs.json (audit: .agents/audit-chime-side-dm.md); extraction artifacts chime_dm_final.json + grid NPZ off-repo on h17:/data/... (not pinned),,,unconstrained,CHIME DM unconstrained (agreement undefined): does not constrain DM: only 2 sub-bands above S/N 4 at the coarsest binning that the bright control still resolves; scatter/S-N-limited. Lean on Pillar 4 (position).
hamilton,518.7990,0.1000,catalog value (frozen DSA-110 reference DM),"configs/bursts.yaml [dm]; dm_err=0.1 is a uniform placeholder floor, not a measured per-burst uncertainty",518.8340,0.0055,arrival-time regression (scatter-deconvolved EMG sub-band t0 vs nu^-2; coherent_dedisp at DSA DM; uniform TDS=32/N_SB=6); downsampling rescues faint bursts. See .agents/audit-chime-side-dm.md,crossmatching/chime_side_inputs.json (audit: .agents/audit-chime-side-dm.md); extraction artifacts chime_dm_final.json + grid NPZ off-repo on h17:/data/... (not pinned),+0.0350,+0.035,constrained,"sigma_eff = max(quadrature, 1.0 floor); DSA err is a 0.1 placeholder, so the floor governs; consistent within the physical DM scale"
mahi,960.1280,0.1000,catalog value (frozen DSA-110 reference DM),"configs/bursts.yaml [dm]; dm_err=0.1 is a uniform placeholder floor, not a measured per-burst uncertainty",,,arrival-time regression (scatter-deconvolved EMG sub-band t0 vs nu^-2; coherent_dedisp at DSA DM; uniform TDS=32/N_SB=6); downsampling rescues faint bursts. See .agents/audit-chime-side-dm.md,crossmatching/chime_side_inputs.json (audit: .agents/audit-chime-side-dm.md); extraction artifacts chime_dm_final.json + grid NPZ off-repo on h17:/data/... (not pinned),,,unconstrained,CHIME DM unconstrained (agreement undefined): does not constrain DM: only 0 sub-bands above S/N 4 at the coarsest binning that the bright control still resolves; scatter/S-N-limited. Lean on Pillar 4 (position).
