burst,telescope,dm_pc_cm3,filename,arc_path,sha256,bytes,status,builder
casey,chime,491,casey_chime_I_491_2085_32000b_cntr_bpc.npy,/arc/home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmphase/casey_chime_I_491_2085_32000b_cntr_bpc.npy,79e9cba92716263d7644cafafe4d35a3ea646f18509be094033b67c6fc4440c4,131072128,ARC_BYTE_MATCH,UNVERIFIED_BUILDER
chromatica,chime,272,chromatica_chime_I_272_6382_32000b_cntr_bpc.npy,/arc/home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmphase/chromatica_chime_I_272_6382_32000b_cntr_bpc.npy,609a8751415323f3191ea2f45b07d6598c5336247f523eda887668f26b29b2b5,131072128,ARC_BYTE_MATCH,UNVERIFIED_BUILDER
freya,chime,912,freya_chime_I_912_4067_32000b_cntr_bpc.npy,/arc/home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmphase/freya_chime_I_912_4067_32000b_cntr_bpc.npy,55561c3d9daad2023f876d62e7579ecea987b214022882a6930fe8c242d59f80,131072128,ARC_BYTE_MATCH,UNVERIFIED_BUILDER
hamilton,chime,518,hamilton_chime_I_518_8007_32000b_cntr_bpc.npy,/arc/home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmphase/hamilton_chime_I_518_8007_32000b_cntr_bpc.npy,86be9081500950735bd3f5d5cdd3370f101c260501f56001bb9cc9ce439652cb,131072128,ARC_BYTE_MATCH,UNVERIFIED_BUILDER
isha,chime,411,isha_chime_I_411_4359_32000b_cntr_bpc.npy,/arc/home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmphase/isha_chime_I_411_4359_32000b_cntr_bpc.npy,c372d6cb2ef62c1ceca28fb6f130cc6fac253bcf97087c3f0555c3f4580b9c2c,131072128,ARC_BYTE_MATCH,UNVERIFIED_BUILDER
johndoeII,chime,696,johndoeII_chime_I_696_5184_32000b_cntr_bpc.npy,/arc/home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmphase/johndoeII_chime_I_696_5184_32000b_cntr_bpc.npy,d5f35c8b94de82dbc080938bf8e2ce4b725d189d8e5c66ef83b3ca6c84edede6,131072128,ARC_BYTE_MATCH,UNVERIFIED_BUILDER
mahi,chime,960,mahi_chime_I_960_1316_32000b_cntr_bpc.npy,/arc/home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmphase/mahi_chime_I_960_1316_32000b_cntr_bpc.npy,be722c48157beb989c53b209f0842e5445f08d7695cba49f23593c6b5d06d61f,131072128,ARC_BYTE_MATCH,UNVERIFIED_BUILDER
oran,chime,397,oran_chime_I_397_0153_32000b_cntr_bpc.npy,/arc/home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmphase/oran_chime_I_397_0153_32000b_cntr_bpc.npy,73ca14a4d467e7a612cb5c8a9df5d1b17e4dba448e23710663dd1195b0f12092,131072128,ARC_BYTE_MATCH,UNVERIFIED_BUILDER
phineas,chime,610,phineas_chime_I_610_2894_32000b_cntr_bpc.npy,/arc/home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmphase/phineas_chime_I_610_2894_32000b_cntr_bpc.npy,6f2e3f4c09c131af98dc061e3788fae6817406f4239e77e91dbe209631ebccd7,131072128,ARC_BYTE_MATCH,UNVERIFIED_BUILDER
whitney,chime,462,whitney_chime_I_462_1891_32000b_cntr_bpc.npy,/arc/home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmphase/whitney_chime_I_462_1891_32000b_cntr_bpc.npy,fb1e5c93291cf35d0b269ebfa6a63409954b4da0aac097b404b926c380f24959,131072128,ARC_BYTE_MATCH,UNVERIFIED_BUILDER
