nickname,type,obj,source_family,source_release,retrieved_at_utc,stable_source_id,source_row_sha256,query_response_sha256,adopted_z,adopted_z_err,measurement_kind,source_disposition,final_verdict,budget_eligible
zach,halo,195373100910393540,PS1-STRM,PS1-STRM HLSP declination strips p69-p77,2026-07-22T12:11:40+00:00,objID:195373100910393540,190966f587f99adae71a59356d64a0425fa64e28777eae8178d4135fbdf85f59,not_applicable,0.4694,0.0471,photometric,frozen,inconclusive,False
whitney,halo,1472,Legacy Survey/Zhou21,NOIRLab Data Lab ls_dr9.tractor + ls_dr9.photo_z,2026-07-22T12:11:40+00:00,ls_id:9907741763044040,16ebd90f7ac4427177abac692b464b8a32e6a2afd3b1dc983c39449b5f320aee,677c3d47b683ac5448840be971464a8b0166f046ad179d859496e4884348450b,0.5551,0.0455,photometric,frozen,refuted,False
whitney,halo,1473,Legacy Survey/Zhou21,NOIRLab Data Lab ls_dr9.tractor + ls_dr9.photo_z,2026-07-22T12:11:40+00:00,ls_id:9907741763044057,848fb02449c5c6c99a3cbbb845ea3a303c83ec345f77c3785268222ccb37ede0,c2b0540292ffa57f20772b2fe2a13c5d784ae226b3e8a9efa59494bd88161219,0.3585,0.1132,photometric,frozen,confirmed,True
whitney,halo,1582,Legacy Survey/Zhou21,NOIRLab Data Lab ls_dr9.tractor + ls_dr9.photo_z,2026-07-22T12:11:40+00:00,ls_id:9907741763044020,aaedc3ef1a7b0e93e6b87c4798c545563e06ca6d8f300d5fd9914cde097d2727,e1d8377cd0920e9d9a7b729eac83e7ce222526009cfde0ae93db73892eaaa50a,0.4712,0.19,photometric,frozen,inconclusive,False
whitney,halo,196191347354360083,Legacy Survey/Zhou21,NOIRLab Data Lab ls_dr9.tractor + ls_dr9.photo_z,2026-07-22T12:11:40+00:00,ls_id:9907741763044040,16ebd90f7ac4427177abac692b464b8a32e6a2afd3b1dc983c39449b5f320aee,2934dd05d529167f00a2a4eb70ab02610aced3b1e9fed40f7ca029149e76da10,0.5551,0.0455,photometric,frozen,refuted,False
whitney,cluster,"J085546.0+732230, 1160094",DESI,NOIRLab Data Lab desi_dr1.zpix,2026-07-22T12:11:40+00:00,targetid:39633514408182928,d345442127f2c9c53096388b034556e310d5fb8f5f428c427c47a310a5bebbfe,3b6654bf00aef5ff9513dacbe0565bcdb79b772c260e6621718683e3642ade72,0.1277,0.0,spectroscopic,frozen,confirmed,False
whitney,cluster,"J085531.9+732432, 1159975",DESI,NOIRLab Data Lab desi_dr1.zpix,2026-07-22T12:11:40+00:00,targetid:39633516157207233,bfef7e6714c1bfe6c710adf5a69ef9b92bf5b966893a2baacb564aa729fb0856,6ce47f8926add1d3876b7b382858a35cad25fd58a251a0db44a644b0fc7fb35d,0.4023,0.0001,spectroscopic,frozen,confirmed,False
whitney,cluster,"J085808.2+731234, 1161367",DESI,NOIRLab Data Lab desi_dr1.zpix,2026-07-22T12:11:40+00:00,targetid:39633514408185609,c60928e9caae401b0730c8c027be87c72dc2d7689baa05219949fe0357dbfe54,23b0a5a7eb14a58ca02d3d38b44a790fc2396443a552778484d4d3c3bb469c4d,0.2572,0.0,spectroscopic,frozen,confirmed,False
oran,halo,195393180643665627,extension_no_adopted_candidate_redshift,not_applicable,2026-07-22T12:11:40+00:00,not_applicable,not_applicable,not_applicable,,,no_trustworthy_redshift,no adopted redshift,inconclusive,False
wilhelm,halo,194453151328186646,extension_no_adopted_candidate_redshift,not_applicable,2026-07-22T12:11:40+00:00,not_applicable,not_applicable,not_applicable,,,no_trustworthy_redshift,no adopted redshift,inconclusive,False
