nickname,obj,tns,impact_kpc,z_used,logM_best,mass_source,R_vir_kpc,b_over_rvir,intersects_rvir,budget_eligible,classification,final_verdict,mass_status,logM_adj,R_vir_adj,b_over_rvir_adj,intersects_adj,el
zach,195373100910393540,FRB 20220207C,75.9,0.4694,13.021826728500033,wise_w1,2607.321790239795,0.0291103308705978,True,False,GALAXY,inconclusive,indeterminate,,,,,False
whitney,1472,FRB 20220310F,104.0,0.5551,11.729661944595572,wise_w1,1576.247233655577,0.0659794972383912,True,False,REX,refuted,indeterminate,,,,,False
whitney,1473,FRB 20220310F,104.8,0.3585,11.279008497664336,wise_w1,705.5591527521592,0.1485346757833257,True,True,REX,confirmed,measured_ok,11.279008497664336,705.5591527521563,0.1485346757833264,True,True
whitney,1582,FRB 20220310F,183.7,0.4712,11.559127281524152,wise_w1,1167.623999188978,0.1573280440686355,True,False,EXP,inconclusive,indeterminate,,,,,False
whitney,196191347354360083,FRB 20220310F,103.3,0.5551,11.729661944595572,wise_w1,1576.247233655577,0.0655354044685174,True,False,REX,refuted,indeterminate,,,,,False
oran,195393180643665627,FRB 20220506D,73.9,0.3005,12.472649647251355,wise_w1,2786.402456583493,0.0265216533330979,True,False,UNSURE,inconclusive,indeterminate,,,,,False
wilhelm,194453151328186646,FRB 20221203A,232.0,0.51,12.46656414570996,wise_w1,2565.103508895624,0.0904446932435428,True,False,UNSURE,inconclusive,indeterminate,,,,,False
phineas,832,FRB 20230307A,158.8,0.1925,10.21053284051532,ps1_taylor,150.75114790946438,1.0533916471095095,False,True,DEV,confirmed,measured_ok,10.21053284051532,150.75114790946438,1.0533916471095097,False,True
phineas,953,FRB 20230307A,242.7,0.1991,10.085944864627542,ps1_taylor,140.16926801363084,1.7314779725923837,False,True,REX,confirmed,measured_ok,10.085944864627542,140.16926801363084,1.7314779725923837,False,True
phineas,983,FRB 20230307A,122.2,0.1649,8.944123958400086,ps1_taylor,90.7323744871077,1.3468180535423282,False,True,EXP,confirmed,measured_ok,8.944123958400086,90.7323744871077,1.3468180535423282,False,True
phineas,986,FRB 20230307A,203.4,0.2082,9.576963911883936,ps1_taylor,111.862737773588,1.8182998561297945,False,False,REX,inconclusive,measured_ok,9.576963911883936,111.86273777358817,1.818299856129792,False,False
phineas,1072,FRB 20230307A,105.2,0.2996,9.538662143939131,ps1_taylor,106.52785071153347,0.9875351778650904,True,False,EXP,inconclusive,measured_ok,9.538662143939131,106.52785071153347,0.9875351778650904,True,False
phineas,1153,FRB 20230307A,135.8,0.2146,10.672284480542231,ps1_taylor,236.80206773733624,0.5734747221490947,True,True,REX,confirmed,measured_ok,10.672284480542231,236.80206773733624,0.5734747221490947,True,True
phineas,1190,FRB 20230307A,121.1,0.1096,9.988535708575595,ps1_taylor,137.80736889759837,0.8787628772593921,True,True,DEV,confirmed,measured_ok,9.988535708575595,137.80736889759837,0.8787628772593921,True,True
phineas,194021777634832653,FRB 20230307A,130.6,0.1925,10.21053284051532,ps1_taylor,150.75114790946438,0.8663283949149997,True,True,DEV,confirmed,measured_ok,10.21053284051532,150.75114790946438,0.8663283949149997,True,True
phineas,194031778315722893,FRB 20230307A,195.9,0.8841,10.223109231721136,wise_w1,115.475588280537,1.696462455112846,False,False,REX,refuted,measured_ok,10.223109231721136,115.47558828053684,1.6964624551128484,False,False
phineas,194041777780157594,FRB 20230307A,111.8,0.2146,10.672284480542231,ps1_taylor,236.80206773733624,0.4721242557899027,True,True,REX,confirmed,measured_ok,10.672284480542231,236.80206773733624,0.4721242557899027,True,True
phineas,194051777813062524,FRB 20230307A,101.7,0.1096,9.988535708575595,ps1_taylor,137.80736889759837,0.7379866607537587,True,True,DEV,confirmed,measured_ok,9.988535708575595,137.80736889759837,0.7379866607537587,True,True
freya,197030881733398302,FRB 20230325A,60.1,0.3047,11.027939885851572,ps1_taylor,441.00895300327227,0.1362784124692227,True,False,GALAXY,inconclusive,measured_ok,11.027939885851572,441.00895300327227,0.13627841246922273,True,False
freya,197040882212782495,FRB 20230325A,233.9,0.6175,10.758373311697198,wise_w1,233.5709374331232,1.0014088335239524,False,False,GALAXY,inconclusive,measured_ok,10.758373311697198,233.57093743312322,1.0014088335239524,False,False
hamilton,192943050854547067,FRB 20230913A,209.2,0.3024,10.589666296893643,ps1_taylor,203.1170017338389,1.0299482476318362,False,False,UNSURE,inconclusive,measured_ok,10.589666296893643,203.11700173383835,1.029948247631839,False,False
hamilton,192963050359413614,FRB 20230913A,136.1,0.3079,10.676463813932392,ps1_taylor,230.1404436084012,0.5913780205950369,True,False,GALAXY,inconclusive,measured_ok,10.676463813932392,230.1404436084012,0.5913780205950369,True,False
chromatica,196673126794497004,FRB 20240203A,111.1,0.074,8.692717202282928,wise_w1,86.05903301145922,1.2909743011544927,False,False,UNSURE,inconclusive,measured_ok,8.692717202282928,86.05903301145922,1.2909743011544927,False,False
chromatica,196723126173351736,FRB 20240203A,103.5,0.4751,11.46231017248979,ps1_taylor,964.4899291522548,0.1073106072667571,True,False,GALAXY,inconclusive,vetted_reliable,11.46231017248979,964.4899291522548,0.1073106072667571,True,False
