nickname,frb_name,frb_z,frb_ra_deg,frb_dec_deg,row_kind,object_id,system_type,final_verdict,system_z,candidate_ra_deg,candidate_dec_deg,impact_kpc,mass_msun,radius_kpc,radius_definition,geometry_status,budget_eligible
zach,FRB 20220207C,0.043,310.199525,72.8823272222,host,,,,,,,,,,,host_roster,False
whitney,FRB 20220310F,0.479,134.7205,73.4908333333,host,,,,,,,,,,,host_roster,False
whitney,FRB 20220310F,0.479,134.7205,73.4908333333,system,1473,halo,confirmed,0.3585,134.7395241,73.4908099,104.8,276142436070.9615,120.87424885174156,R200c,pass,True
whitney,FRB 20220310F,0.479,134.7205,73.4908333333,system,"J085546.0+732230, 1160094",cluster,confirmed,0.1277,133.94167,73.37494,2039.4,64000000000000.0,519.0,R500c_catalog,pass,False
whitney,FRB 20220310F,0.479,134.7205,73.4908333333,system,"J085531.9+732432, 1159975",cluster,confirmed,0.4023,133.88272,73.40887,5210.8,90000000000000.0,577.0,R500c_catalog,pass,False
whitney,FRB 20220310F,0.479,134.7205,73.4908333333,system,"J085808.2+731234, 1161367",cluster,confirmed,0.2572,134.53415,73.20953,5690.0,56000000000000.01,591.0,R500c_catalog,pass,False
oran,FRB 20220506D,0.3005,318.0448333333,72.8272777778,host,,,,,,,,,,,host_roster,False
isha,FRB 20221113A,0.2505,71.411,70.3073888889,host,,,,,,,,,,,host_roster,False
wilhelm,FRB 20221203A,,315.1295416667,72.0375611111,host,,,,,,,,,,,host_roster,False
phineas,FRB 20230307A,0.271,177.7813333333,71.6956388889,host,,,,,,,,,,,host_roster,False
phineas,FRB 20230307A,0.271,177.7813333333,71.6956388889,system,953,halo,confirmed,0.1991,177.8314024,71.69336919,242.7,449400078853.2408,151.03980711881184,R200c,pass,True
phineas,FRB 20230307A,0.271,177.7813333333,71.6956388889,system,983,halo,confirmed,0.1649,177.8163208,71.69501131,122.2,112787184570.15146,96.45747262524743,R200c,pass,True
phineas,FRB 20230307A,0.271,177.7813333333,71.6956388889,system,194021777634832653,halo,confirmed,0.1925,177.7635678,71.68486803,130.6,542273443718.04755,161.1874408532471,R200c,pass,True
phineas,FRB 20230307A,0.271,177.7813333333,71.6956388889,system,194041777780157594,halo,confirmed,0.2146,177.7780675,71.70558959,111.8,1707590432605.2102,234.35417571626624,R200c,pass,True
phineas,FRB 20230307A,0.271,177.7813333333,71.6956388889,system,194051777813062524,halo,confirmed,0.1096,177.7811322,71.70977418,101.7,356081744303.46747,144.27622828823223,R200c,pass,True
phineas,FRB 20230307A,0.271,177.7813333333,71.6956388889,system,"J115120.4+714435, 1254337",cluster,confirmed,0.2,177.83488,71.74319,603.6,148000000000000.0,729.0,R500c_catalog,pass,True
phineas,FRB 20230307A,0.271,177.7813333333,71.6956388889,system,"J115128.2+713637, 1254415",cluster,confirmed,0.1916,177.86761,71.61024,1054.7,186000000000000.0,841.0,R500c_catalog,pass,False
phineas,FRB 20230307A,0.271,177.7813333333,71.6956388889,system,"J114944.0+714348, 1253496",cluster,confirmed,0.244,177.4332,71.7301,1569.2,52000000000000.0,531.0,R500c_catalog,pass,False
phineas,FRB 20230307A,0.271,177.7813333333,71.6956388889,system,"J115140.5+712732, 1254506",cluster,confirmed,0.1758,177.91873,71.45892,2104.7,93000000000000.0,633.0,R500c_catalog,pass,False
phineas,FRB 20230307A,0.271,177.7813333333,71.6956388889,system,"J115400.9+713320, 1255773",cluster,confirmed,0.1549,178.50381,71.55566,3060.1,51000000000000.0,563.0,R500c_catalog,pass,False
phineas,FRB 20230307A,0.271,177.7813333333,71.6956388889,system,"J115031.4+715735, 1253898",cluster,confirmed,0.2696,177.63068,71.95965,4272.8,125000000000000.0,698.0,R500c_catalog,pass,False
phineas,FRB 20230307A,0.271,177.7813333333,71.6956388889,system,"J115436.9+713930, 1256077",cluster,confirmed,0.2628,178.65378,71.65822,3989.8,47000000000000.0,560.0,R500c_catalog,pass,False
