name,TNS,MJD,Localization,RA_deg,Dec_deg,z_spectroscopic,gamma_1.4GHz_MHz,gamma_1.4GHz_err_MHz,gamma_1.4GHz_NE2001_MHz,tau_1GHz_ms,tau_1GHz_std_ms,Intervening_Cluster,cluster_obj_ID,cluster_Survey,cluster_Impact_Parameter_kpc,cluster_RA_deg,cluster_Dec_deg,cluster_z_photometric,r500_Mpc,lam500_richness,M500_1e14,Number_of_Galaxies
zach,FRB 20220207C,59617.8085036401,20h40m47.886s +72d52m56.378s,310.199525,72.8823272222,0.043,0.730525,0.0445,0.7781546259,0.276,"(+0.012, -0.002)",I,"J085546.0+732230, 1160094","DESI, WISE (Wen et al. 2024)",2039.36,133.94167,73.37494,0.1216,0.519,13.72,0.64,7.0
whitney,FRB 20220310F,59648.2417207443,08h58m52.92s +73d29m27.0s,134.7205,73.4908333333,0.479,,,2.625420632,0.151,"(+0.017, -0.010)",II,"J085531.9+732432, 1159975","DESI, WISE (Wen et al. 2024)",5210.8,133.88272,73.40887,0.4239,0.577,19.64,0.9,10.0
whitney,FRB 20220310F,59648.2417207443,08h58m52.92s +73d29m27.0s,134.7205,73.4908333333,0.479,,,2.625420632,0.151,"(+0.017, -0.010)",III,"J085808.2+731234, 1161367","DESI, WISE (Wen et al. 2024)",5689.99,134.53415,73.20953,0.3975,0.591,12.1,0.56,11.0
phineas,FRB 20230307A,60010.3788577185,11h51m07.52s +71d41m44.3s,177.7813333333,71.6956388889,0.271,4.253,0.14,4.117785215,0.568,"(+0.126, -0.228)",I ,"J115120.4+714435, 1254337","DESI, WISE (Wen et al. 2024)",603.64,177.83488,71.74319,0.1938,0.729,32.69,1.48,14.0
phineas,FRB 20230307A,60010.3788577185,11h51m07.52s +71d41m44.3s,177.7813333333,71.6956388889,0.271,4.253,0.14,4.117785215,0.568,"(+0.126, -0.228)",II,"J115128.2+713637, 1254415","DESI, WISE (Wen et al. 2024)",1054.68,177.86761,71.61024,0.1897,0.841,41.57,1.86,32.0
phineas,FRB 20230307A,60010.3788577185,11h51m07.52s +71d41m44.3s,177.7813333333,71.6956388889,0.271,4.253,0.14,4.117785215,0.568,"(+0.126, -0.228)",III,"J114944.0+714348, 1253496","DESI, WISE (Wen et al. 2024)",1569.18,177.4332,71.7301,0.2309,0.531,11.21,0.52,6.0
phineas,FRB 20230307A,60010.3788577185,11h51m07.52s +71d41m44.3s,177.7813333333,71.6956388889,0.271,4.253,0.14,4.117785215,0.568,"(+0.126, -0.228)",IV,"J115140.5+712732, 1254506","DESI, WISE (Wen et al. 2024)",2104.65,177.91873,71.45892,0.1322,0.633,20.42,0.93,11.0
phineas,FRB 20230307A,60010.3788577185,11h51m07.52s +71d41m44.3s,177.7813333333,71.6956388889,0.271,4.253,0.14,4.117785215,0.568,"(+0.126, -0.228)",V,"J115400.9+713320, 1255773","DESI, WISE (Wen et al. 2024)",3060.14,178.50381,71.55566,0.1832,0.563,10.87,0.51,6.0
phineas,FRB 20230307A,60010.3788577185,11h51m07.52s +71d41m44.3s,177.7813333333,71.6956388889,0.271,4.253,0.14,4.117785215,0.568,"(+0.126, -0.228)",VI,"J115031.4+715735, 1253898","DESI, WISE (Wen et al. 2024)",4272.76,177.63068,71.95965,0.2841,0.698,27.48,1.25,16.0
phineas,FRB 20230307A,60010.3788577185,11h51m07.52s +71d41m44.3s,177.7813333333,71.6956388889,0.271,4.253,0.14,4.117785215,0.568,"(+0.126, -0.228)",VII,"J115436.9+713930, 1256077","DESI, WISE (Wen et al. 2024)",3989.83,178.65378,71.65822,0.2472,0.56,10.09,0.47,9.0
phineas,FRB 20230307A,60010.3788577185,11h51m07.52s +71d41m44.3s,177.7813333333,71.6956388889,0.271,4.253,0.14,4.117785215,0.568,"(+0.126, -0.228)",VIII,"J114928.5+712526, 1253366","DESI, WISE (Wen et al. 2024)",3049.59,177.36887,71.42403,0.1574,0.771,33.42,1.51,27.0
casey,FRB 20240229A,60343.8318219485,11h19m56.05s +70d40m34.4s,169.9835417,70.67622222,0.287,0.6367,0.033,4.07304557,0.023,"(+0.204, -0.004)",I ,"J111929.5+705441, 1237905","DESI, WISE (Wen et al. 2024)",3133.0,169.87289,70.91131,0.2192,0.766,39.61,1.78,22.0
casey,FRB 20240229A,60343.8318219485,11h19m56.05s +70d40m34.4s,169.9835417,70.67622222,0.287,0.6367,0.033,4.07304557,0.023,"(+0.204, -0.004)",II,"J112235.5+705438, 1239515","DESI, WISE (Wen et al. 2024)",4284.68,170.6479,70.91058,0.2236,0.543,19.39,0.89,13.0
casey,FRB 20240229A,60343.8318219485,11h19m56.05s +70d40m34.4s,169.9835417,70.67622222,0.287,0.6367,0.033,4.07304557,0.023,"(+0.204, -0.004)",III,"J112350.9+704142, 1240175","DESI, WISE (Wen et al. 2024)",4267.39,170.96191,70.69499,0.2191,0.848,46.86,2.09,31.0
casey,FRB 20240229A,60343.8318219485,11h19m56.05s +70d40m34.4s,169.9835417,70.67622222,0.287,0.6367,0.033,4.07304557,0.023,"(+0.204, -0.004)",IV,"J111930.9+702041, 1237924","DESI, WISE (Wen et al. 2024)",3804.0,169.87859,70.34475,0.1825,0.602,13.46,0.62,7.0
