name,TNS,MJD,Localization,RA_deg,Dec_deg,z_spectroscopic,gamma_1.4GHz_MHz,gamma_1.4GHz_err_MHz,gamma_1.4GHz_NE2001_MHz,tau_1GHz_ms,tau_1GHz_std_ms,Intervening_Halo,halo_obj_ID,halo_Survey,halo_Impact_Parameter_kpc,halo_RA_deg,halo_Dec_deg,halo_z_photometric,class,prob_gal,prob_star,prob_qso
zach,FRB 20220207C,59617.8085036401,20h40m47.886s +72d52m56.378s,310.199525,72.8823272222,0.043,0.730525,0.0445,0.7781546259,0.276,"(+0.012, -0.002)",A,1.9537310091039354e+17,"WISE, PS1, STRM",75.8927078,310.0912903,72.81041703,0.012668989,GALAXY,0.7741557,0.21411066,0.011733597
whitney,FRB 20220310F,59648.2417207443,08h58m52.92s +73d29m27.0s,134.7205,73.4908333333,0.479,,,2.625420632,0.151,"(+0.017, -0.010)",B,1472.0,Legacy DR8 (Zhou et al. 2021),104.0225891,134.7355716,73.49103487,0.57313246,REX,,,
whitney,FRB 20220310F,59648.2417207443,08h58m52.92s +73d29m27.0s,134.7205,73.4908333333,0.479,,,2.625420632,0.151,"(+0.017, -0.010)",C,1473.0,Legacy DR8 (Zhou et al. 2021),104.8272858,134.7395241,73.4908099,0.3819289,REX,,,
whitney,FRB 20220310F,59648.2417207443,08h58m52.92s +73d29m27.0s,134.7205,73.4908333333,0.479,,,2.625420632,0.151,"(+0.017, -0.010)",D,1582.0,Legacy DR8 (Zhou et al. 2021),183.6820344,134.7283841,73.49765201,0.6445946,EXP,,,
whitney,FRB 20220310F,59648.2417207443,08h58m52.92s +73d29m27.0s,134.7205,73.4908333333,0.479,,,2.625420632,0.151,"(+0.017, -0.010)",E,1.961913473543601e+17,"WISE, PS1, STRM",103.3283248,134.7356692,73.491054,0.5575161,GALAXY,0.99067277,0.00091412605,0.008413137
oran,FRB 20220506D,59705.5970129235,21h12m10.760s +72d49m38.20s,318.0448333333,72.8272777778,0.3005,0.42225,0.0895,0.6131321933,0.831,"(+0.089, -0.077)",A,1.9539318064366563e+17,"WISE, PS1, STRM",73.87442415,318.0644375,72.82904878,0.198661474,GALAXY,0.87636614,,
wilhelm,FRB 20221203A,59916.0017508958,21h00m31.09s +72d02m15.22s,315.1295416667,72.0375611111,0.51,0.12105,0.027,0.629754282,0.307,"(+0.049, -0.136)",A,1.9445315132818666e+17,"WISE, PS1, STRM",231.9569389,315.1329059,72.04657361,0.64319044,GALAXY,0.90788466,0.0726387,0.019476606
phineas,FRB 20230307A,60010.3788577185,11h51m07.52s +71d41m44.3s,177.7813333333,71.6956388889,0.271,4.253,0.14,4.117785215,0.568,"(+0.126, -0.228)",A,832.0,Legacy DR8 (Zhou et al. 2021),158.8077832,177.7635672,71.68486398,0.21739762,GALAXY,,,
phineas,FRB 20230307A,60010.3788577185,11h51m07.52s +71d41m44.3s,177.7813333333,71.6956388889,0.271,4.253,0.14,4.117785215,0.568,"(+0.126, -0.228)",B,953.0,Legacy DR8 (Zhou et al. 2021),242.6733413,177.8314024,71.69336919,0.26768085,GALAXY,,,
phineas,FRB 20230307A,60010.3788577185,11h51m07.52s +71d41m44.3s,177.7813333333,71.6956388889,0.271,4.253,0.14,4.117785215,0.568,"(+0.126, -0.228)",C,983.0,Legacy DR8 (Zhou et al. 2021),122.2053697,177.8163208,71.69501131,0.17635022,GALAXY,,,
phineas,FRB 20230307A,60010.3788577185,11h51m07.52s +71d41m44.3s,177.7813333333,71.6956388889,0.271,4.253,0.14,4.117785215,0.568,"(+0.126, -0.228)",D,986.0,Legacy DR8 (Zhou et al. 2021),203.4146534,177.7309593,71.69534656,0.21239159,GALAXY,,,
phineas,FRB 20230307A,60010.3788577185,11h51m07.52s +71d41m44.3s,177.7813333333,71.6956388889,0.271,4.253,0.14,4.117785215,0.568,"(+0.126, -0.228)",E,1072.0,Legacy DR8 (Zhou et al. 2021),105.2420454,177.7704447,71.70050655,0.33110702,GALAXY,,,
phineas,FRB 20230307A,60010.3788577185,11h51m07.52s +71d41m44.3s,177.7813333333,71.6956388889,0.271,4.253,0.14,4.117785215,0.568,"(+0.126, -0.228)",F,1153.0,Legacy DR8 (Zhou et al. 2021),135.7804637,177.7780541,71.70559219,0.22799593,GALAXY,,,
phineas,FRB 20230307A,60010.3788577185,11h51m07.52s +71d41m44.3s,177.7813333333,71.6956388889,0.271,4.253,0.14,4.117785215,0.568,"(+0.126, -0.228)",G,1190.0,Legacy DR8 (Zhou et al. 2021),121.121305,177.7811216,71.70977541,0.12906177,GALAXY,,,
phineas,FRB 20230307A,60010.3788577185,11h51m07.52s +71d41m44.3s,177.7813333333,71.6956388889,0.271,4.253,0.14,4.117785215,0.568,"(+0.126, -0.228)",H,1.9402177763483264e+17,"WISE, PS1, STRM",130.6151308,177.7635678,71.68486803,0.16977255,GALAXY,0.9664329,0.028281566,0.005285486
phineas,FRB 20230307A,60010.3788577185,11h51m07.52s +71d41m44.3s,177.7813333333,71.6956388889,0.271,4.253,0.14,4.117785215,0.568,"(+0.126, -0.228)",I,1.9403177831572288e+17,"WISE, PS1, STRM",195.8907761,177.8313746,71.7,0.20139003,GALAXY,0.9982816,8.64e-05,0.0016319678
phineas,FRB 20230307A,60010.3788577185,11h51m07.52s +71d41m44.3s,177.7813333333,71.6956388889,0.271,4.253,0.14,4.117785215,0.568,"(+0.126, -0.228)",J,1.940417777801576e+17,"WISE, PS1, STRM",111.8071745,177.7780675,71.70558959,0.17780937,GALAXY,0.99739957,0.001632411,0.00096813584
phineas,FRB 20230307A,60010.3788577185,11h51m07.52s +71d41m44.3s,177.7813333333,71.6956388889,0.271,4.253,0.14,4.117785215,0.568,"(+0.126, -0.228)",K,1.9405177781306253e+17,"WISE, PS1, STRM",101.7444295,177.7811322,71.70977418,0.10554664,GALAXY,0.99858606,0.0011536868,0.00026021377
freya,FRB 20230325A,60028.0716905725,05h52m45.12s +74d12m01.7s,88.188,74.2004722222,,1.05345,0.215,1.091287275,0.143,"(+0.010, -0.007)",A,1.970308817333983e+17,"WISE, PS1, STRM",60.11015996,88.1729787,74.19784041,0.20186801,GALAXY,0.93442523,0.045681626,0.019893192
freya,FRB 20230325A,60028.0716905725,05h52m45.12s +74d12m01.7s,88.188,74.2004722222,,1.05345,0.215,1.091287275,0.143,"(+0.010, -0.007)",B,1.970408822127825e+17,"WISE, PS1, STRM",233.8911738,88.22143337,74.20135627,0.64352965,GALAXY,0.99958915,0.00017510756,0.00023575165
hamilton,FRB 20230913A ,60170.3609267555,20h20m08.92s +70d47m33.96s,305.0371666667,70.7927666667,0.3024,0.5372,0.0925,0.8087054239,0.243,"(+0.135, -0.140)",A,1.9294305085454707e+17,"WISE, PS1, STRM",209.1635874,305.0853736,70.78860842,0.21027125,GALAXY,0.83771545,0.004704359,0.15758017
hamilton,FRB 20230913A ,60170.3609267555,20h20m08.92s +70d47m33.96s,305.0371666667,70.7927666667,0.3024,0.5372,0.0925,0.8087054239,0.243,"(+0.135, -0.140)",B,1.929630503594136e+17,"WISE, PS1, STRM",136.1447141,305.0361763,70.80240538,0.24035172,GALAXY,0.98747444,0.00034273998,0.012182749
chromatica,FRB 20240203A,60331.1042800127,20h50m28.59s +73d54m00.0s,312.619125,73.9,0.074,1.576,0.35,0.7760343596,0.13,"(+0.012, -0.004)",A,1.96673126794497e+17,"WISE, PS1, STRM",111.0598602,312.6793509,73.89686576,0.09462511,GALAXY,0.93143016,0.014137173,0.054432653
chromatica,FRB 20240203A,60331.1042800127,20h50m28.59s +73d54m00.0s,312.619125,73.9,0.074,1.576,0.35,0.7760343596,0.13,"(+0.012, -0.004)",B,1.9672312617335174e+17,"WISE, PS1, STRM",103.464688,312.6173096,73.93405297,0.041308902,GALAXY,0.9897199,7.63e-05,0.01020368
chromatica,FRB 20240203A,60331.1042800127,20h50m28.59s +73d54m00.0s,312.619125,73.9,0.074,1.576,0.35,0.7760343596,0.13,"(+0.012, -0.004)",C,1.9673312804022576e+17,"WISE, PS1, STRM",228.0968735,312.8039777,73.94584168,0.045353893,GALAXY,0.98085344,0.00846597,0.010680515
casey,FRB 20240229A,60343.8318219485,11h19m56.05s +70d40m34.4s,169.9835417,70.67622222,0.287,0.6367,0.033,4.07304557,0.023,"(+0.204, -0.004)",A,1.9282169972865475e+17,"WISE, PS1, STRM",206.4431166,169.9727442,70.68666126,0.36087847,GALAXY,0.9912005,0.004339937,0.004459632
casey,FRB 20240229A,60343.8318219485,11h19m56.05s +70d40m34.4s,169.9835417,70.67622222,0.287,0.6367,0.033,4.07304557,0.023,"(+0.204, -0.004)",B,1.9282170002616755e+17,"WISE, PS1, STRM",170.6291817,170.002558,70.68897047,0.19447789,GALAXY,0.9997733,2.78e-05,0.00019878693
