arc_path,arc_basename,burst_nickname_guess,iacobus_match,notes
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmphase/analysis_20260619_055230,analysis_20260619_055230,,,CANFAR analysis session dir; no iacobus counterpart expected
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmphase/analysis_20260619_060505,analysis_20260619_060505,,,CANFAR analysis session dir; no iacobus counterpart expected
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmphase/analysis_20260619_075220,analysis_20260619_075220,,,CANFAR analysis session dir; no iacobus counterpart expected
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmtransform/uncorrected/casey_I_491_207_32000b.npy,casey_I_491_207_32000b.npy,casey,casey_14000_16500.npy; casey_240229aaad,nickname casey ↔ 2 iacobus entry/entries; TNS date code 240229; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmphase/uncorrected/casey_I_491_2085_32000b.npy,casey_I_491_2085_32000b.npy,casey,casey_14000_16500.npy; casey_240229aaad,nickname casey ↔ 2 iacobus entry/entries; TNS date code 240229; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmtransform/casey_chime_I_491_207_32000b_cntr_bpc.npy,casey_chime_I_491_207_32000b_cntr_bpc.npy,casey,casey_14000_16500.npy; casey_240229aaad,nickname casey ↔ 2 iacobus entry/entries; TNS date code 240229; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmphase/casey_chime_I_491_2085_32000b_cntr_bpc.npy,casey_chime_I_491_2085_32000b_cntr_bpc.npy,casey,casey_14000_16500.npy; casey_240229aaad,nickname casey ↔ 2 iacobus entry/entries; TNS date code 240229; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmphase/uncorrected/chromatica_I_272_6382_32000b.npy,chromatica_I_272_6382_32000b.npy,chromatica,chromatica_240203aacl,nickname chromatica ↔ 1 iacobus entry/entries; TNS date code 240203; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmtransform/uncorrected/chromatica_I_272_664_32000b.npy,chromatica_I_272_664_32000b.npy,chromatica,chromatica_240203aacl,nickname chromatica ↔ 1 iacobus entry/entries; TNS date code 240203; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmphase/chromatica_chime_I_272_6382_32000b_cntr_bpc.npy,chromatica_chime_I_272_6382_32000b_cntr_bpc.npy,chromatica,chromatica_240203aacl,nickname chromatica ↔ 1 iacobus entry/entries; TNS date code 240203; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmtransform/chromatica_chime_I_272_664_32000b_cntr_bpc.npy,chromatica_chime_I_272_664_32000b_cntr_bpc.npy,chromatica,chromatica_240203aacl,nickname chromatica ↔ 1 iacobus entry/entries; TNS date code 240203; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmphase/uncorrected/freya_I_912_4067_32000b.npy,freya_I_912_4067_32000b.npy,freya,I_230325aaag_freya.npy; freya_230325aaag,nickname freya ↔ 2 iacobus entry/entries; TNS date code 230325; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmtransform/uncorrected/freya_I_912_4_32000b.npy,freya_I_912_4_32000b.npy,freya,I_230325aaag_freya.npy; freya_230325aaag,nickname freya ↔ 2 iacobus entry/entries; TNS date code 230325; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmphase/freya_chime_I_912_4067_32000b_cntr_bpc.npy,freya_chime_I_912_4067_32000b_cntr_bpc.npy,freya,I_230325aaag_freya.npy; freya_230325aaag,nickname freya ↔ 2 iacobus entry/entries; TNS date code 230325; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmtransform/freya_chime_I_912_4_32000b_cntr_bpc.npy,freya_chime_I_912_4_32000b_cntr_bpc.npy,freya,I_230325aaag_freya.npy; freya_230325aaag,nickname freya ↔ 2 iacobus entry/entries; TNS date code 230325; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmtransform/uncorrected/hamilton_I_518_799_32000b.npy,hamilton_I_518_799_32000b.npy,hamilton,hamilton_14000_16500.npy; hamilton_230913aaao,nickname hamilton ↔ 2 iacobus entry/entries; TNS date code 230913; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmphase/uncorrected/hamilton_I_518_8007_32000b.npy,hamilton_I_518_8007_32000b.npy,hamilton,hamilton_14000_16500.npy; hamilton_230913aaao,nickname hamilton ↔ 2 iacobus entry/entries; TNS date code 230913; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmtransform/hamilton_chime_I_518_799_32000b_cntr_bpc.npy,hamilton_chime_I_518_799_32000b_cntr_bpc.npy,hamilton,hamilton_14000_16500.npy; hamilton_230913aaao,nickname hamilton ↔ 2 iacobus entry/entries; TNS date code 230913; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmphase/hamilton_chime_I_518_8007_32000b_cntr_bpc.npy,hamilton_chime_I_518_8007_32000b_cntr_bpc.npy,hamilton,hamilton_14000_16500.npy; hamilton_230913aaao,nickname hamilton ↔ 2 iacobus entry/entries; TNS date code 230913; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmphase/uncorrected/isha_I_411_4359_32000b.npy,isha_I_411_4359_32000b.npy,isha,isha_14000_16500.npy; isha_221113aaao,nickname isha ↔ 2 iacobus entry/entries; TNS date code 221113; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmtransform/uncorrected/isha_I_411_568_32000b.npy,isha_I_411_568_32000b.npy,isha,isha_14000_16500.npy; isha_221113aaao,nickname isha ↔ 2 iacobus entry/entries; TNS date code 221113; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmphase/isha_chime_I_411_4359_32000b_cntr_bpc.npy,isha_chime_I_411_4359_32000b_cntr_bpc.npy,isha,isha_14000_16500.npy; isha_221113aaao,nickname isha ↔ 2 iacobus entry/entries; TNS date code 221113; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmtransform/isha_chime_I_411_568_32000b_cntr_bpc.npy,isha_chime_I_411_568_32000b_cntr_bpc.npy,isha,isha_14000_16500.npy; isha_221113aaao,nickname isha ↔ 2 iacobus entry/entries; TNS date code 221113; namespace differs from arc _chime_I_ fit naming
