name,target_id,ra,dec,z_frb,num_galaxies
Zach,1,20h40m47.886s,+72d52m56.378s,0.043,2
Whitney,2,08h58m52.92s,+73d29m27.0s,0.479,3
Oran,3,21h12m10.760s,+72d49m38.20s,0.3005,0
Isha,4,04h45m38.64s,+70d18m26.6s,0.2505,1
Wilhelm,5,21h00m31.09s,+72d02m15.22s,0.51,2
Phineas,6,11h51m07.52s,+71d41m44.3s,0.271,0
Freya,7,05h52m45.12s,+74d12m01.7s,1.0,1
Hamilton,8,20h20m08.92s,+70d47m33.96s,0.3024,1
Mahi,9,02h39m03.96s,+71d01m04.3s,1.0,0
Chromatica,10,20h50m28.59s,+73d54m00.0s,0.074,2
Casey,11,11h19m56.05s,+70d40m34.4s,0.287,0
Johndoeii,12,22h23m53.94s,+73d01m33.26s,1.0,1
