nickname,tns,host_z_spec,type,tag,obj,obj_class,survey,ra_deg,dec_deg,z_phot,impact_kpc_listed,prob_gal,prob_star,prob_qso,r500_mpc,lam500_richness,m500_1e14msun,n_galaxies,sep_arcsec,impact_kpc_recomp_zphot,impact_kpc_recomp_zhost,impact_ratio_zphot,b_over_r500,flags,notes
zach,FRB 20220207C,0.043,halo,IGH,195373100910393540,GALAXY,"WISE, PS1, STRM",310.0912903,72.81041703,0.012668989,75.8927078,0.7741557,0.21411066,0.011733597,,,,,283.23780300168306,75.89270432226114,248.3034719006443,0.9999999541755861,,,
whitney,FRB 20220310F,0.479,halo,IGH,1472,REX,Legacy DR8 (Zhou et al. 2021),134.7355716,73.49103487,0.57313246,104.0225891,,,,,,,,15.435328945907836,104.02286630754895,94.88965509229025,1.0000026648783822,,ZPHOT_GE_ZHOST,
whitney,FRB 20220310F,0.479,halo,IGH,1473,REX,Legacy DR8 (Zhou et al. 2021),134.7395241,73.4908099,0.3819289,104.8272858,,,,,,,,19.46199255851879,104.82733869287559,119.64382280146802,1.0000005045716407,,,
whitney,FRB 20220310F,0.479,halo,IGH,1582,EXP,Legacy DR8 (Zhou et al. 2021),134.7283841,73.49765201,0.6445946,183.6820344,,,,,,,,25.837818418224213,183.68187253676953,158.8396131131703,0.9999991187857267,,ZPHOT_GE_ZHOST,
whitney,FRB 20220310F,0.479,halo,IGH,196191347354360083,GALAXY,"WISE, PS1, STRM",134.7356692,73.491054,0.5575161,103.3283248,0.99067277,0.00091412605,0.008413137,,,,,15.538424116117431,103.32832485165555,95.52343913260142,1.0000000004999166,,ZPHOT_GE_ZHOST,
whitney,FRB 20220310F,0.479,cluster,IGC,"J085546.0+732230, 1160094",,"DESI, WISE (Wen et al. 2024)",133.94167,73.37494,0.1216,2039.36,,,,0.519,13.72,0.64,7.0,901.7762510774269,2039.3627365411837,5543.726196897241,1.0000013418627334,3.929402697495183,IMPACT_GT_R500,
whitney,FRB 20220310F,0.479,cluster,IGC,"J085531.9+732432, 1159975",,"DESI, WISE (Wen et al. 2024)",133.88272,73.40887,0.4239,5210.8,,,,0.577,19.64,0.9,10.0,908.3729762684626,5210.796704953776,5584.279979735926,0.9999993676506056,9.030849220103986,IMPACT_GT_R500,
whitney,FRB 20220310F,0.479,cluster,IGC,"J085808.2+731234, 1161367",,"DESI, WISE (Wen et al. 2024)",134.53415,73.20953,0.3975,5689.99,,,,0.591,12.1,0.56,11.0,1030.7712723290792,5689.985668013949,6336.731199776501,0.9999992386654369,9.627732656514382,IMPACT_GT_R500,
oran,FRB 20220506D,0.3005,halo,,195393180643665627,GALAXY,"WISE, PS1, STRM",318.0644375,72.82904878,0.198661474,73.87442415,0.87636614,,,,,,,21.790047875148304,73.87456200216087,100.28779143867825,1.0000018660336438,,,
wilhelm,FRB 20221203A,0.51,halo,IGH,194453151328186646,GALAXY,"WISE, PS1, STRM",315.1329059,72.04657361,0.64319044,231.9569389,0.90788466,0.0726387,0.019476606,,,,,32.65917062911723,231.95693009535785,207.610551212053,0.9999999620419109,,ZPHOT_GE_ZHOST,
