burst,tns,mjd,host_z,type,obj_id,survey,ra_deg,dec_deg,impact_kpc,b_over_r500,redshift,redshift_err,redshift_source,classification,verdict,reason,sheet_zphot
zach,FRB 20220207C,59617.8085036401,0.043,halo,195373100910393540,WISE/PS1/STRM,310.0912903,72.81041703,75.9,,0.4694,0.0471,PS1-STRM phot,GALAXY,inconclusive,photo-z extrapolated,0.012668989
whitney,FRB 20220310F,59648.2417207443,0.479,cluster,"J085546.0+732230, 1160094",DESI/WISE (Wen+),133.94167,73.37494,2039.4,3.93,0.1277,0.0,DESI spec,cluster,confirmed,DESI spec < host,0.1216
whitney,FRB 20220310F,59648.2417207443,0.479,cluster,"J085531.9+732432, 1159975",DESI/WISE (Wen+),133.88272,73.40887,5210.8,9.03,0.4023,0.0001,DESI spec,cluster,confirmed,DESI spec < host,0.4239
whitney,FRB 20220310F,59648.2417207443,0.479,cluster,"J085808.2+731234, 1161367",DESI/WISE (Wen+),134.53415,73.20953,5690.0,9.63,0.2572,0.0,DESI spec,cluster,confirmed,DESI spec < host,0.3975
whitney,FRB 20220310F,59648.2417207443,0.479,halo,196191347354360083,WISE/PS1/STRM,134.7356692,73.491054,103.3,,0.5551,0.0455,LS/Zhou phot,REX,refuted,LS/Zhou phot > host,0.5575161
whitney,FRB 20220310F,59648.2417207443,0.479,halo,1472,Legacy/Zhou21,134.7355716,73.49103487,104.0,,0.5551,0.0455,LS/Zhou phot,REX,refuted,LS/Zhou phot > host,0.57313246
whitney,FRB 20220310F,59648.2417207443,0.479,halo,1473,Legacy/Zhou21,134.7395241,73.4908099,104.8,,0.3585,0.1132,LS/Zhou phot,REX,confirmed,LS/Zhou phot < host,0.3819289
whitney,FRB 20220310F,59648.2417207443,0.479,halo,1582,Legacy/Zhou21,134.7283841,73.49765201,183.7,,0.4712,0.19,LS/Zhou phot,EXP,inconclusive,within 1σ of host,0.6445946
oran,FRB 20220506D,59705.5970129235,0.3005,halo,195393180643665627,WISE/PS1/STRM,318.0644375,72.82904878,73.9,,,,PS1-STRM,UNSURE,inconclusive,not a galaxy (STRM UNSURE),0.198661474
wilhelm,FRB 20221203A,59916.0017508958,0.51,halo,194453151328186646,WISE/PS1/STRM,315.1329059,72.04657361,232.0,,,,PS1-STRM,UNSURE,inconclusive,not a galaxy (STRM UNSURE),0.64319044
