nickname,type,obj,survey,ra_deg,dec_deg,host_z_spec,sheet_zphot,internal_flags,exists,best_z,best_z_source,foreground_verdict,strm_class,strm_zphot,strm_zphoterr,strm_extrapolated,sheet_vs_strm_zphot_diff,strm_verdict,final_verdict,final_reason
zach,halo,195373100910393540,"WISE, PS1, STRM",310.0912903,72.81041703,0.043,0.012668989,,True,,none,inconclusive,GALAXY,0.4693608582019805,0.0470979852488228,1.0,0.457,inconclusive-extrapolated-photoz (STRM photo-z outside training coverage),inconclusive,inconclusive-extrapolated-photoz (STRM photo-z outside training coverage)
whitney,halo,1472,Legacy DR8 (Zhou et al. 2021),134.7355716,73.49103487,0.479,0.57313246,ZPHOT_GE_ZHOST,True,0.5550550222396851,lsdr9_zphot,refuted,,,,,,,refuted,lsdr9_zphot vs host z
whitney,halo,1473,Legacy DR8 (Zhou et al. 2021),134.7395241,73.4908099,0.479,0.3819289,,True,0.358473002910614,lsdr9_zphot,confirmed,,,,,,,confirmed,lsdr9_zphot vs host z
whitney,halo,1582,Legacy DR8 (Zhou et al. 2021),134.7283841,73.49765201,0.479,0.6445946,ZPHOT_GE_ZHOST,True,0.4712490141391754,lsdr9_zphot,inconclusive,,,,,,,inconclusive,photo-z within 1sigma of host (Legacy/Zhou DR9)
whitney,halo,196191347354360083,"WISE, PS1, STRM",134.7356692,73.491054,0.479,0.5575161,ZPHOT_GE_ZHOST,True,0.5550550222396851,lsdr9_zphot,refuted,,,,,,,refuted,lsdr9_zphot vs host z
whitney,cluster,"J085546.0+732230, 1160094","DESI, WISE (Wen et al. 2024)",133.94167,73.37494,0.479,0.1216,IMPACT_GT_R500,True,0.1276785728454136,desi_specz,confirmed,,,,,,,confirmed,desi_specz vs host z
whitney,cluster,"J085531.9+732432, 1159975","DESI, WISE (Wen et al. 2024)",133.88272,73.40887,0.479,0.4239,IMPACT_GT_R500,True,0.4023026176141762,desi_specz,confirmed,,,,,,,confirmed,desi_specz vs host z
whitney,cluster,"J085808.2+731234, 1161367","DESI, WISE (Wen et al. 2024)",134.53415,73.20953,0.479,0.3975,IMPACT_GT_R500,True,0.2571591579717415,desi_specz,confirmed,,,,,,,confirmed,desi_specz vs host z
oran,halo,195393180643665627,"WISE, PS1, STRM",318.0644375,72.82904878,0.3005,0.198661474,,True,,none,inconclusive,UNSURE,,,,,"inconclusive-not-galaxy (STRM class=UNSURE, prob_gal=0.69)",inconclusive,"inconclusive-not-galaxy (STRM class=UNSURE, prob_gal=0.69)"
wilhelm,halo,194453151328186646,"WISE, PS1, STRM",315.1329059,72.04657361,0.51,0.64319044,ZPHOT_GE_ZHOST,True,,none,inconclusive,UNSURE,,,,,"inconclusive-not-galaxy (STRM class=UNSURE, prob_gal=0.68)",inconclusive,"inconclusive-not-galaxy (STRM class=UNSURE, prob_gal=0.68)"
