nickname,type,obj,survey,ra_deg,dec_deg,host_z_spec,sheet_zphot,internal_flags,exists,best_z,best_z_source,foreground_verdict,ned_sep_as,ned_name,ned_type,ned_z,lsdr9_sep_as,lsdr9_type,lsdr9_zphot,lsdr9_zphot_std,lsdr9_zspec,desi_sep_as,desi_specz,desi_zerr,desi_spectype,simbad_sep_as,simbad_otype,simbad_z
zach,halo,195373100910393540,"WISE, PS1, STRM",310.0912903,72.81041703,0.043,0.012668989,,True,,none,inconclusive,0.8,WISEA J204022.09+724837.5,IrS,,,,,,,,,,,,,
whitney,halo,1472,Legacy DR8 (Zhou et al. 2021),134.7355716,73.49103487,0.479,0.57313246,ZPHOT_GE_ZHOST,True,0.5550550222396851,lsdr9_zphot,refuted,0.82,WISEA J085856.72+732927.5,IrS,,0.01,REX,0.5550550222396851,0.0455470010638237,,,,,,,,
whitney,halo,1473,Legacy DR8 (Zhou et al. 2021),134.7395241,73.4908099,0.479,0.3819289,,True,0.358473002910614,lsdr9_zphot,confirmed,3.3,WISEA J085856.72+732927.5,IrS,,0.01,REX,0.358473002910614,0.11319500207901001,,,,,,,,
whitney,halo,1582,Legacy DR8 (Zhou et al. 2021),134.7283841,73.49765201,0.479,0.6445946,ZPHOT_GE_ZHOST,True,0.4712490141391754,lsdr9_zphot,inconclusive,2.7,WISEA J085854.87+732954.2,IrS,,0.04,EXP,0.4712490141391754,0.19000299274921417,,,,,,,,
whitney,halo,196191347354360083,"WISE, PS1, STRM",134.7356692,73.491054,0.479,0.5575161,ZPHOT_GE_ZHOST,True,0.5550550222396851,lsdr9_zphot,refuted,0.75,WISEA J085856.72+732927.5,IrS,,0.13,REX,0.5550550222396851,0.0455470010638237,,,,,,,,
whitney,cluster,"J085546.0+732230, 1160094","DESI, WISE (Wen et al. 2024)",133.94167,73.37494,0.479,0.1216,IMPACT_GT_R500,True,0.1276785728454136,desi_specz,confirmed,0.15,WISEA J085546.03+732229.8,G,0.100728,0.02,SER,0.12353400141000748,0.01524600014090538,,5.73,0.1276785728454136,1.412286489740153e-05,GALAXY,,,
whitney,cluster,"J085531.9+732432, 1159975","DESI, WISE (Wen et al. 2024)",133.88272,73.40887,0.479,0.4239,IMPACT_GT_R500,True,0.4023026176141762,desi_specz,confirmed,0.85,WISEA J085532.04+732431.8,IrS,,0.02,DEV,0.42390498518943787,0.022969000041484833,,73.22,0.4023026176141762,0.0001276498292802368,GALAXY,,,
whitney,cluster,"J085808.2+731234, 1161367","DESI, WISE (Wen et al. 2024)",134.53415,73.20953,0.479,0.3975,IMPACT_GT_R500,True,0.2571591579717415,desi_specz,confirmed,0.07,WISEA J085808.19+731234.3,IrS,,0.01,DEV,0.40000200271606445,0.017139999195933342,,37.54,0.2571591579717415,1.270886230186347e-05,GALAXY,,,
oran,halo,195393180643665627,"WISE, PS1, STRM",318.0644375,72.82904878,0.3005,0.198661474,,True,,none,inconclusive,1.04,WISEA J211215.65+724944.0,IrS,,,,,,,,,,,,,
wilhelm,halo,194453151328186646,"WISE, PS1, STRM",315.1329059,72.04657361,0.51,0.64319044,ZPHOT_GE_ZHOST,True,,none,inconclusive,0.22,WISEA J210031.94+720247.6,IrS,,,,,,,,,,,,,
phineas,halo,832,Legacy DR8 (Zhou et al. 2021),177.7635672,71.68486398,0.271,0.21739762,,True,0.19249099493026733,lsdr9_zphot,confirmed,1.2,WISEA J115103.10+714104.5,IrS,,0.01,DEV,0.19249099493026733,0.028387999162077904,,,,,,,,
phineas,halo,953,Legacy DR8 (Zhou et al. 2021),177.8314024,71.69336919,0.271,0.26768085,,True,0.1990638847824674,desi_specz,confirmed,0.25,WISEA J115119.58+714136.0,IrS,,0.0,REX,0.2782379984855652,0.045503001660108566,,0.05,0.1990638847824674,4.953432982739382e-06,GALAXY,,,
phineas,halo,983,Legacy DR8 (Zhou et al. 2021),177.8163208,71.69501131,0.271,0.17635022,,True,0.16492000222206116,lsdr9_zphot,confirmed,2.68,WISEA J115116.47+714142.6,IrS,,0.0,EXP,0.16492000222206116,0.058451998978853226,,,,,,,,
phineas,halo,986,Legacy DR8 (Zhou et al. 2021),177.7309593,71.69534656,0.271,0.21239159,,True,0.2081799954175949,lsdr9_zphot,inconclusive,1.21,WISEA J115055.49+714144.4,IrS,,0.0,REX,0.2081799954175949,0.06666400283575058,,,,,,,,
phineas,halo,1072,Legacy DR8 (Zhou et al. 2021),177.7704447,71.70050655,0.271,0.33110702,ZPHOT_GE_ZHOST,True,0.2995710074901581,lsdr9_zphot,inconclusive,,,,,0.0,EXP,0.2995710074901581,0.0792590007185936,,,,,,,,
