name,TNS,MJD,Localization,z_spectroscopic,Localization,RA_deg,Dec_deg,z_spectroscopic,gamma_1.4GHz_MHz,gamma_1.4GHz_err_MHz,gamma_1.4GHz_NE2001_MHz,tau_1GHz_ms,tau_1GHz_std_ms
zach,FRB 20220207C,59617.8085036401,20 40 47.886 +72 52 56.378,0.0430000000,20h40m47.886s +72d52m56.378s,310.1995250000,72.8823272222,0.0430000000,0.730525,0.0445,0.7781546259,0.276,"(+0.012, -0.002)"
whitney,FRB 20220310F,59648.2417207443,08 58 52.92 +73 29 27.0,0.4790000000,08h58m52.92s +73d29m27.0s,134.7205000000,73.4908333333,0.4790000000,-,-,2.625420632,0.151,"(+0.017, -0.010)"
oran,FRB 20220506D,59705.5970129235,21 12 10.760 +72 49 38.20,0.3005000000,21h12m10.760s +72d49m38.20s,318.0448333333,72.8272777778,0.3005000000,0.42225,0.0895,0.6131321933,0.831,"(+0.089, -0.077)"
isha,FRB 20221113A,59896.3865109765,04 45 38.64 +70 18 26.6,0.2505000000,04h45m38.64s +70d18m26.6s,71.4110000000,70.3073888889,0.2505000000,0.5954,0.3,0.497767771,0.284,"(+0.013, -0.013)"
wilhelm,FRB 20221203A,59916.0017508958,21 00 31.09 +72 02 15.22,0.5100000000,21h00m31.09s +72d02m15.22s,315.1295416667,72.0375611111,0.5100000000,0.12105,0.027,0.629754282,0.307,"(+0.049, -0.136)"
phineas,FRB 20230307A,60010.3788577185,11 51 07.52 +71 41 44.3,0.2710000000,11h51m07.52s +71d41m44.3s,177.7813333333,71.6956388889,0.2710000000,4.253,0.14,4.117785215,0.568,"(+0.126, -0.228)"
freya,FRB 20230325A,60028.0716905725,05 52 45.12 +74 12 01.7,,05h52m45.12s +74d12m01.7s,88.1880000000,74.2004722222,,1.05345,0.215,1.091287275,0.143,"(+0.010, -0.007)"
johndoeII,FRB 20230814B,60369.3709522430,22 23 53.94 +73 01 33.26,,22h23m53.94s +73d01m33.26s,335.9747500000,73.0259055600,,7.6315,0.091,0.3580785559,0.156,"(+0.076, -0.012)"
hamilton,FRB 20230913A ,60170.3609267555,20 20 08.92 +70 47 33.96,0.3024000000,20h20m08.92s +70d47m33.96s,305.0371666667,70.7927666667,0.3024000000,0.5372,0.0925,0.8087054239,0.243,"(+0.135, -0.140)"
mahi,FRB 20240119A,60200.2071580830,02 39 03.96 +71 01 04.3,,02h39m03.96s +71d01m04.3s,39.7665000000,71.0178611111,,0.33955,0.0685,0.1464607647,0.208,"(+0.122, -0.030)"
