TNS,MJD,Localization,RA_deg,Dec_deg,z_spectroscopic
FRB 20220207C,59617.8085036401,20h40m47.886s +72d52m56.378s,310.1995250000,72.8823272222,0.0430000000
FRB 20220310F,59648.2417207443,08h58m52.92s +73d29m27.0s,134.7205000000,73.4908333333,0.4790000000
FRB 20220506D,59705.5970129235,21h12m10.760s +72d49m38.20s,318.0448333333,72.8272777778,0.3005000000
FRB 20221113A,59896.3865109765,04h45m38.64s +70d18m26.6s,71.4110000000,70.3073888889,0.2505000000
FRB 20221203A,59916.0017508958,21h00m31.09s +72d02m15.22s,315.1295416667,72.0375611111,0.5100000000
FRB 20230307A,60010.3788577185,11h51m07.52s +71d41m44.3s,177.7813333333,71.6956388889,0.2710000000
FRB 20230325A,60028.0716905725,05h52m45.12s +74d12m01.7s,88.1880000000,74.2004722222,N/A
FRB 20230814B,60369.3709522430,22h23m53.94s +73d01m33.26s,335.9747500000,73.0259055600,N/A
FRB 20230913A ,60170.3609267555,20h20m08.92s +70d47m33.96s,305.0371666667,70.7927666667,0.3024000000
FRB 20240119A,60200.2071580830,02h39m03.96s +71d01m04.3s,39.7665000000,71.0178611111,N/A
FRB 20240203A,60331.1042800127,20h50m28.59s +73d54m00.0s,312.6191250000,73.9000000000,0.0740000000
FRB 20240229A,60343.8318219485,11h19m56.05s +70d40m34.4s,169.9835416700,70.6762222200,0.2870000000
